Date,Depth,Temp
2022-01-01 00:00:00+00:00,0.494025,2.967223137617111
2022-01-01 00:00:00+00:00,1.541375,2.967223137617111
2022-01-01 00:00:00+00:00,2.645669,2.967223137617111
2022-01-01 00:00:00+00:00,3.819495,2.967223137617111
2022-01-01 00:00:00+00:00,5.078224,2.967223137617111
2022-01-01 00:00:00+00:00,6.440614,2.967223137617111
2022-01-01 00:00:00+00:00,7.92956,2.967223137617111
2022-01-01 00:00:00+00:00,9.572997,2.967223137617111
2022-01-01 00:00:00+00:00,11.405,3.017029345035553
2022-01-01 00:00:00+00:00,13.46714,3.0177617892622948
2022-01-02 00:00:00+00:00,0.494025,2.835383176803589
2022-01-02 00:00:00+00:00,1.541375,2.8368480652570724
2022-01-02 00:00:00+00:00,2.645669,2.839045397937298
2022-01-02 00:00:00+00:00,3.819495,2.841242730617523
2022-01-02 00:00:00+00:00,5.078224,2.8434400632977486
2022-01-02 00:00:00+00:00,6.440614,2.844904951751232
2022-01-02 00:00:00+00:00,7.92956,2.8463698402047157
2022-01-02 00:00:00+00:00,9.572997,2.8478347286581993
2022-01-02 00:00:00+00:00,11.405,2.8932462707161903
2022-01-02 00:00:00+00:00,13.46714,2.8932462707161903
2022-01-03 00:00:00+00:00,0.494025,2.621509462594986
2022-01-03 00:00:00+00:00,1.541375,2.621509462594986
2022-01-03 00:00:00+00:00,2.645669,2.621509462594986
2022-01-03 00:00:00+00:00,3.819495,2.621509462594986
2022-01-03 00:00:00+00:00,5.078224,2.621509462594986
2022-01-03 00:00:00+00:00,6.440614,2.621509462594986
2022-01-03 00:00:00+00:00,7.92956,2.621509462594986
2022-01-03 00:00:00+00:00,9.572997,2.621509462594986
2022-01-03 00:00:00+00:00,11.405,2.6544694527983665
2022-01-03 00:00:00+00:00,13.46714,2.6537370085716248
2022-01-04 00:00:00+00:00,0.494025,2.394451752305031
2022-01-04 00:00:00+00:00,1.541375,2.394451752305031
2022-01-04 00:00:00+00:00,2.645669,2.394451752305031
2022-01-04 00:00:00+00:00,3.819495,2.394451752305031
2022-01-04 00:00:00+00:00,5.078224,2.394451752305031
2022-01-04 00:00:00+00:00,6.440614,2.394451752305031
2022-01-04 00:00:00+00:00,7.92956,2.394451752305031
2022-01-04 00:00:00+00:00,9.572997,2.394451752305031
2022-01-04 00:00:00+00:00,11.405,2.432538852095604
2022-01-04 00:00:00+00:00,13.46714,2.432538852095604
2022-01-05 00:00:00+00:00,0.494025,2.270668677985668
2022-01-05 00:00:00+00:00,1.541375,2.270668677985668
2022-01-05 00:00:00+00:00,2.645669,2.270668677985668
2022-01-05 00:00:00+00:00,3.819495,2.270668677985668
