Date,BW,Remark
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,155,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/4/28,55,
2022/6/23,200,
2022/6/23,200,
2022/6/23,150,
2022/6/23,150,
2022/6/23,130,
2022/6/23,500,
2022/6/23,500,
2022/6/23,550,
2022/6/23,600,
2022/6/23,500,
2022/6/23,200,
2022/6/23,310,
2022/6/23,410,
2022/6/23,260,
2022/6/23,150,
2022/6/23,200,
2022/6/23,110,
2022/6/23,190,
2022/6/23,140,
2022/6/23,340,
2022/6/23,160,
2022/6/23,300,
2022/6/23,550,
2022/6/23,440,
2022/6/23,200,
2022/6/23,360,
2022/6/23,390,
2022/6/23,540,
2022/6/23,260,
2022/6/23,140,
2022/6/23,150,
2022/6/23,190,
2022/6/23,140,
2022/6/23,210,
2022/6/23,130,
2022/6/23,180,
2022/6/23,230,
2022/6/23,150,
2022/6/23,140,
2022/6/23,250,
2022/6/23,150,
2022/6/23,160,
2022/6/23,170,
2022/6/23,180,
2022/6/23,170,
2022/6/23,170,
2022/6/23,150,
2022/6/23,180,
2022/6/23,120,
2022/6/23,230,
2022/6/23,130,
2022/6/23,230,
2022/6/23,240,
2022/6/23,150,
2022/6/23,210,
2022/6/23,120,
2022/6/23,170,
2022/6/23,180,
2022/6/23,140,
2022/6/23,150,
2022/6/23,130,
2022/6/23,220,
2022/6/23,170,
2022/6/23,150,
2022/6/23,180,
2022/6/23,170,
2022/6/23,150,
2022/6/23,180,
2022/6/23,180,
2022/6/23,120,
2022/6/23,270,
2022/6/23,140,
2022/6/23,140,
2022/6/23,150,
2022/6/23,180,
