Date,Depth,Temp,Salinity
2024-05-24 01:00:00,5,8.73,33.15
2024-05-24 01:00:00,10,8.53,33.25
2024-05-24 01:00:00,15,8.44,33.28
2024-05-24 01:00:00,20,8.20,33.31
2024-05-24 01:00:00,30,6.60,33.69
2024-05-24 02:00:00,30,6.58,33.63
2024-05-24 05:00:00,5,8.61,33.46
2024-05-24 05:00:00,10,8.57,33.47
2024-05-24 05:00:00,15,8.46,33.49
2024-05-24 05:00:00,20,8.39,33.49
2024-05-24 05:00:00,30,7.98,33.51
2024-05-26 01:00:00,5,8.71,33.50
2024-05-26 01:00:00,10,8.72,33.49
2024-05-26 01:00:00,15,8.73,33.46
2024-05-26 01:00:00,20,8.37,33.38
2024-05-26 01:00:00,30,7.47,33.61
2024-05-26 02:00:00,30,7.40,33.59
2024-05-26 03:00:00,30,7.38,33.59
2024-05-26 04:00:00,30,7.47,33.60
2024-05-26 05:00:00,5,8.70,33.52
2024-05-26 05:00:00,10,8.68,33.53
2024-05-26 05:00:00,15,8.66,33.53
2024-05-26 05:00:00,20,8.66,33.53
2024-05-26 05:00:00,30,7.56,33.61
2024-05-29 02:00:00,5,9.61,33.29
2024-05-29 02:00:00,10,9.61,33.38
2024-05-29 02:00:00,15,8.52,33.68
2024-05-29 02:00:00,20,8.26,33.49
2024-05-29 02:00:00,30,7.69,33.52
2024-05-29 06:00:00,5,9.01,33.45
2024-05-29 06:00:00,10,8.26,33.53
2024-05-29 06:00:00,15,7.44,33.56
2024-05-29 06:00:00,20,7.26,33.57
2024-05-29 06:00:00,30,7.12,33.57
2024-05-30 00:00:00,5,10.48,33.42
2024-05-30 00:00:00,10,10.50,33.42
2024-05-30 00:00:00,15,10.44,33.42
2024-05-30 00:00:00,20,10.26,33.40
2024-05-30 00:00:00,30,9.84,33.49
2024-05-30 00:00:00,40,7.68,33.48
2024-05-30 00:00:00,50,6.93,33.64
2024-05-30 00:00:00,65,6.43,33.70
2024-05-30 06:00:00,5,10.37,33.45
2024-05-30 06:00:00,10,9.92,33.49
2024-05-30 06:00:00,15,9.86,33.51
2024-05-30 06:00:00,20,9.84,33.52
2024-05-30 06:00:00,30,9.36,33.56
2024-05-30 06:00:00,40,8.37,33.61
2024-05-30 06:00:00,50,7.03,33.68
2024-05-30 06:00:00,65,6.41,33.71
2024-05-31 06:00:00,5,10.28,33.58
2024-05-31 06:00:00,10,10.25,33.59
2024-05-31 06:00:00,15,10.24,33.61
2024-05-31 06:00:00,20,10.15,33.62
2024-05-31 06:00:00,30,9.42,33.68
2024-05-31 06:00:00,40,8.45,33.75
2024-05-31 06:00:00,50,7.77,33.76
2024-05-31 06:00:00,65,6.82,33.80
2024-06-01 00:00:00,5,11.03,33.80
2024-06-01 00:00:00,10,10.73,33.71
2024-06-01 00:00:00,15,10.24,33.74
2024-06-01 00:00:00,20,9.89,33.75
2024-06-01 00:00:00,30,9.38,33.79
2024-06-01 00:00:00,40,8.45,33.87
2024-06-01 00:00:00,50,8.15,33.87
2024-06-01 00:00:00,65,7.09,33.90
2024-06-01 07:00:00,5,10.96,33.70
2024-06-01 07:00:00,10,10.13,33.72
2024-06-01 07:00:00,15,9.99,33.72
2024-06-01 07:00:00,20,9.75,33.75
2024-06-01 07:00:00,30,8.87,33.82
2024-06-01 07:00:00,40,7.96,33.86
2024-06-01 07:00:00,50,7.72,33.87
2024-06-01 07:00:00,65,6.74,33.90
2024-06-13 00:00:00,5,12.89,33.74
