N,itm,Date,u,v
1,1,2025-10-21 18:30:00,0.76,-0.22
2,2,2025-10-21 19:30:00,0.65,-0.19
3,3,2025-10-21 20:30:00,0.55,-0.17
4,4,2025-10-21 21:30:00,0.49,-0.16
5,5,2025-10-21 22:30:00,0.47,-0.17
6,6,2025-10-21 23:30:00,0.46,-0.19
7,7,2025-10-22 00:30:00,0.44,-0.2
8,8,2025-10-22 01:30:00,0.39,-0.22
9,9,2025-10-22 02:30:00,0.3,-0.21
10,10,2025-10-22 03:30:00,0.16,-0.15
11,11,2025-10-22 04:30:00,0.0,-0.06
12,12,2025-10-22 05:30:00,-0.14,0.07
13,13,2025-10-22 06:30:00,-0.24,0.17
14,14,2025-10-22 07:30:00,-0.29,0.23
15,15,2025-10-22 08:30:00,-0.3,0.22
16,16,2025-10-22 09:30:00,-0.24,0.17
17,17,2025-10-22 10:30:00,-0.06,0.13
18,18,2025-10-22 11:30:00,0.21,0.04
19,19,2025-10-22 12:30:00,0.53,-0.1
20,20,2025-10-22 13:30:00,0.83,-0.24
21,21,2025-10-22 14:30:00,0.94,-0.3
22,22,2025-10-22 15:30:00,1.07,-0.36
23,23,2025-10-22 16:30:00,1.09,-0.36
24,24,2025-10-22 17:30:00,1.04,-0.33
25,25,2025-10-22 18:30:00,0.94,-0.31
26,26,2025-10-22 19:30:00,0.82,-0.28
27,27,2025-10-22 20:30:00,0.71,-0.26
28,28,2025-10-22 21:30:00,0.63,-0.25
29,29,2025-10-22 22:30:00,0.58,-0.26
30,30,2025-10-22 23:30:00,0.55,-0.27
31,31,2025-10-23 00:30:00,0.5,-0.28
32,32,2025-10-23 01:30:00,0.42,-0.27
33,33,2025-10-23 02:30:00,0.3,-0.23
34,34,2025-10-23 03:30:00,0.14,-0.16
35,35,2025-10-23 04:30:00,-0.05,-0.06
36,36,2025-10-23 05:30:00,-0.22,0.07
37,37,2025-10-23 06:30:00,-0.38,0.17
38,38,2025-10-23 07:30:00,-0.52,0.25
39,39,2025-10-23 08:30:00,-0.57,0.29
40,40,2025-10-23 09:30:00,-0.5,0.29
41,41,2025-10-23 10:30:00,-0.32,0.26
42,42,2025-10-23 11:30:00,-0.06,0.2
43,43,2025-10-23 12:30:00,0.25,0.09
44,44,2025-10-23 13:30:00,0.63,-0.09
45,45,2025-10-23 14:30:00,0.83,-0.22
46,46,2025-10-23 15:30:00,0.95,-0.29
47,47,2025-10-23 16:30:00,1.08,-0.36
48,48,2025-10-23 17:30:00,1.12,-0.36
49,49,2025-10-23 18:30:00,1.06,-0.34
50,50,2025-10-23 19:30:00,0.96,-0.3
51,51,2025-10-23 20:30:00,0.85,-0.26
52,52,2025-10-23 21:30:00,0.74,-0.22
53,53,2025-10-23 22:30:00,0.64,-0.2
54,54,2025-10-23 23:30:00,0.57,-0.18
55,55,2025-10-24 00:30:00,0.51,-0.17
56,56,2025-10-24 01:30:00,0.42,-0.16
57,57,2025-10-24 02:30:00,0.32,-0.15
58,58,2025-10-24 03:30:00,0.18,-0.13
59,59,2025-10-24 04:30:00,-0.0,-0.06
60,60,2025-10-24 05:30:00,-0.19,0.05
61,61,2025-10-24 06:30:00,-0.36,0.16
62,62,2025-10-24 07:30:00,-0.51,0.25
63,63,2025-10-24 08:30:00,-0.6,0.3
64,64,2025-10-24 09:30:00,-0.58,0.3
65,65,2025-10-24 10:30:00,-0.46,0.27
66,66,2025-10-24 11:30:00,-0.22,0.23
67,67,2025-10-24 12:30:00,0.09,0.13
68,68,2025-10-24 13:30:00,0.42,-0.02
69,69,2025-10-24 14:30:00,0.75,-0.17
70,70,2025-10-24 15:30:00,1.02,-0.29
71,71,2025-10-24 16:30:00,1.16,-0.36
72,72,2025-10-24 17:30:00,1.24,-0.38
73,73,2025-10-24 18:30:00,1.25,-0.38
74,74,2025-10-24 19:30:00,1.2,-0.34
75,75,2025-10-24 20:30:00,1.13,-0.31
76,76,2025-10-24 21:30:00,1.03,-0.28
77,77,2025-10-24 22:30:00,0.93,-0.26
78,78,2025-10-24 23:30:00,0.83,-0.24
79,79,2025-10-25 00:30:00,0.73,-0.22
80,80,2025-10-25 01:30:00,0.62,-0.19
81,81,2025-10-25 02:30:00,0.51,-0.17
82,82,2025-10-25 03:30:00,0.37,-0.15
83,83,2025-10-25 04:30:00,0.21,-0.12
84,84,2025-10-25 05:30:00,0.01,-0.06
85,85,2025-10-25 06:30:00,-0.18,0.05
86,86,2025-10-25 07:30:00,-0.34,0.16
87,87,2025-10-25 08:30:00,-0.45,0.25
88,88,2025-10-25 09:30:00,-0.48,0.3
89,89,2025-10-25 10:30:00,-0.41,0.29
90,90,2025-10-25 11:30:00,-0.23,0.24
